token,latency_ms,tokens_per_sec
3340,3.463322,288.740117
3341,2.958381,338.022723
3342,2.946299,339.408865
3343,3.398380,294.257852
3344,3.852515,259.570696
3345,2.958562,338.002043
3346,2.932723,340.980038
3347,2.935519,340.655264
3348,3.182894,314.179486
3349,3.822960,261.577416
3350,3.359858,297.631626
3351,2.939526,340.190902
3352,2.940197,340.113265
3353,2.932422,341.015038
3354,3.880859,257.674912
3355,3.503528,285.426576
3356,3.161074,316.348178
3357,2.936901,340.494964
3358,2.945427,339.509348
3359,3.931775,254.338053
3360,3.393621,294.670501
3361,2.948143,339.196572
3362,2.934145,340.814786
3363,2.933284,340.914824
3364,3.406836,293.527484
3365,3.861312,258.979331
3366,2.959052,337.946072
3367,2.939216,340.226782
3368,2.942492,339.847993
3369,3.358715,297.732913
3370,3.643762,274.441635
3371,3.564072,280.577946
3372,2.943755,339.702183
3373,2.933345,340.907735
3374,3.397298,294.351570
3375,3.901437,256.315814
3376,2.953753,338.552343
3377,2.934426,340.782150
3378,2.937412,340.435731
3379,3.394423,294.600879
3380,3.922838,254.917486
3381,2.964513,337.323533
3382,2.959844,337.855644
3383,2.934897,340.727460
3384,3.410524,293.210076
3385,3.677556,271.919721
3386,3.521762,283.948773
3387,2.940829,340.040172
3388,2.946269,339.412321
3389,3.389313,295.045043
3390,3.875930,258.002596
3391,2.950727,338.899532
3392,2.944736,339.589016
3393,2.929447,341.361356
3394,3.126378,319.858955
3395,3.795208,263.490170
3396,3.246765,307.998885
3397,2.933355,340.906573
3398,2.934847,340.733265
3399,2.926341,341.723675
3400,3.886169,257.322829
3401,3.387549,295.198682
3402,3.269588,305.848933
3403,2.934346,340.791440
3404,2.942010,339.903671
3405,3.918499,255.199759
3406,3.359437,297.668925
3407,2.937673,340.405484
3408,2.934156,340.813508
3409,2.922194,342.208628
3410,3.383312,295.568366
3411,3.749852,266.677192
3412,3.109446,321.600697
3413,2.937022,340.480936
3414,2.943775,339.699875
3415,3.329371,300.357034
3416,3.782924,264.345781
3417,3.436001,291.036004
3418,2.945166,339.539435
3419,2.919679,342.503405
3420,3.394103,294.628654
3421,3.860601,259.027027
3422,2.946900,339.339645
3423,2.929858,341.313470
3424,2.935278,340.683233
3425,3.389353,295.041561
3426,3.762827,265.757634
3427,3.080642,324.607663
3428,2.947061,339.321107
3429,2.935047,340.710047
3430,3.387700,295.185524
3431,3.828951,261.168137
3432,3.504280,285.365325
3433,2.955677,338.331963
3434,2.949945,338.989371
3435,3.386838,295.260653
3436,3.732459,267.919889
3437,3.085831,324.061817
3438,2.946690,339.363829
3439,2.938024,340.364817
3440,2.936610,340.528705
3441,3.924822,254.788625
3442,3.167005,315.755738
3443,3.076404,325.054837
3444,2.940699,340.055205
3445,2.926792,341.671017
3446,3.407428,293.476487
3447,3.748109,266.801206
3448,3.433827,291.220262
3449,2.941119,340.006644
3450,2.931261,341.150106
3451,3.386638,295.278090
3452,3.750633,266.621661
3453,3.079831,324.693141
3454,2.935609,340.644820
3455,2.926181,341.742360
3456,3.330964,300.213392
3457,3.842737,260.231184
3458,2.944846,339.576331
3459,2.919659,342.505752
3460,2.936089,340.589131
3461,3.372622,296.505212
3462,3.760492,265.922651
3463,3.470266,288.162348
3464,2.944645,339.599510
3465,2.927864,341.545919
3466,3.349949,298.512007
3467,3.763458,265.713076
3468,3.073659,325.345134
3469,2.935318,340.678591
3470,2.938444,340.316167
3471,3.334961,299.853581
3472,3.846164,259.999314
3473,2.942031,339.901245
3474,2.941399,339.974278
3475,2.918797,342.606903
3476,2.936140,340.583215
3477,3.887211,257.253851
3478,3.504079,285.381694
3479,3.162967,316.158847
3480,2.948113,339.200024
3481,2.928506,341.471044
3482,3.874798,258.077969
3483,3.282923,304.606596
3484,2.935339,340.676154
3485,2.933374,340.904365
3486,2.935749,340.628576
3487,3.343818,299.059339
3488,3.881721,257.617691
3489,2.940137,340.120205
3490,2.942331,339.866589
3491,2.929628,341.340266
3492,3.388782,295.091275
3493,3.740054,267.375819
3494,3.400625,294.063591
3495,2.944245,339.645648
3496,2.937031,340.479893
3497,3.348106,298.676326
3498,3.760042,265.954476
3499,3.072707,325.445934
3500,2.934757,340.743714
3501,2.929086,341.403428
3502,3.356101,297.964811
3503,3.914182,255.481222
3504,3.031910,329.825094
3505,3.019066,331.228267
3506,2.991384,334.293424
3507,3.428978,291.632084
3508,3.727691,268.262579
3509,3.489852,286.545103
3510,3.005560,332.716698
3511,2.986545,334.835069
3512,3.343757,299.064794
3513,3.831346,261.004879
3514,3.021982,330.908655
3515,2.954294,338.490347
3516,2.925880,341.777517
3517,3.325854,300.674654
3518,3.808323,262.582769
3519,3.032922,329.715040
3520,2.928826,341.433735
3521,2.921772,342.258054
3522,3.108996,321.647246
3523,3.721498,268.708998
3524,3.358876,297.718642
3525,3.250703,307.625766
3526,2.915020,343.050820
3527,2.922013,342.229826
3528,3.852115,259.597650
3529,3.387440,295.208181
3530,2.921773,342.257937
3531,2.917905,342.711637
3532,2.912004,343.406122
3533,3.384304,295.481730
3534,3.772515,265.075155
3535,3.149292,317.531686
3536,2.921772,342.258054
3537,2.918547,342.636250
3538,3.430641,291.490716
3539,3.730846,268.035722
3540,3.461349,288.904702
3541,2.917204,342.793990
3542,2.920942,342.355309
3543,3.336414,299.722996
3544,3.865109,258.724916
3545,2.924618,341.924997
3546,2.922113,342.218114
3547,2.917344,342.777540
3548,3.292000,303.766707
3549,3.761044,265.883622
3550,3.068509,325.891174
3551,2.922985,342.116022
3552,2.918767,342.610424
3553,3.409852,293.267860
3554,3.726478,268.349900
3555,3.406705,293.538771
3556,2.924498,341.939027
3557,2.914880,343.067296
3558,3.117000,320.821303
3559,3.789256,263.904049
3560,3.390004,294.984903
3561,2.916713,342.851696
3562,2.914779,343.079184
3563,2.907345,343.956428
3564,3.914452,255.463600
3565,3.245472,308.121592
3566,2.918236,342.672765
3567,2.920791,342.373008
3568,2.912825,343.309330
3569,3.404782,293.704560
3570,3.633754,275.197495
3571,3.515320,284.469124
3572,2.912175,343.385957
3573,2.921542,342.284999
3574,3.374014,296.382884
3575,3.841375,260.323452
3576,2.927553,341.582202
3577,2.920650,342.389537
3578,2.920139,342.449452
3579,3.381458,295.730422
3580,3.766273,265.514475
3581,3.073047,325.409927
3582,2.916793,342.842293
3583,2.917645,342.742177
3584,3.412247,293.062020
3585,3.716078,269.100918
3586,3.375077,296.289537
3587,2.918035,342.696369
3588,2.913397,343.241927
3589,3.324821,300.768071
3590,3.835003,260.755989
3591,2.922293,342.197035
3592,2.920610,342.394226
3593,2.916402,342.888258
3594,2.906694,344.033462
3595,3.893563,256.834164
3596,3.245582,308.111149
3597,2.918337,342.660906
3598,2.921191,342.326127
3599,2.912746,343.318642
3600,3.320814,301.130988
3601,3.628745,275.577369
3602,3.553783,281.390282
3603,2.922264,342.200431
3604,2.918436,342.649282
3605,3.350160,298.493206
3606,3.841485,260.315998
3607,2.931211,341.155925
3608,2.917845,342.718685
3609,2.916803,342.841117
3610,3.362162,297.427667
3611,3.729143,268.158126
3612,3.121419,320.367115
3613,2.930238,341.269207
3614,2.919218,342.557493
3615,3.407557,293.465377
3616,3.750163,266.655076
3617,3.375087,296.288659
3618,2.927132,341.631331
3619,2.927453,341.593870
3620,3.328659,300.421281
3621,3.829593,261.124354
3622,2.931421,341.131485
3623,2.930259,341.266762
3624,2.918316,342.663372
3625,2.921381,342.303862
3626,3.854550,259.433656
3627,3.370898,296.656855
3628,2.926110,341.750652
3629,2.926883,341.660394
3630,2.919108,342.570402
3631,3.416575,292.690780
3632,3.628554,275.591875
3633,3.509008,284.980826
3634,2.929587,341.345043
3635,2.927654,341.570418
3636,3.376028,296.206074
3637,3.810367,262.441912
3638,2.932413,341.016085
3639,2.925830,341.783357
3640,2.905402,344.186450
3641,3.383292,295.570113
3642,3.727370,268.285681
3643,3.128613,319.630456
3644,2.925390,341.834764
3645,2.924759,341.908513
3646,3.411385,293.136072
3647,3.712562,269.355771
3648,3.371259,296.625089
3649,2.928385,341.485153
3650,2.918456,342.646934
3651,3.376679,296.148968
3652,3.832668,260.914851
3653,2.931090,341.170008
3654,2.921482,342.292028
3655,2.927924,341.538920
