run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.323808,0.132736,0.052032,0.052512,0.09424,0.077824,0.074176,0.028064,0.835392,0.989182
2,0.323872,0.131264,0.053056,0.05344,0.093696,0.078528,0.07376,0.028224,0.83584,0.999191
3,0.322336,0.132992,0.053216,0.052896,0.095168,0.07776,0.073728,0.028352,0.836448,0.991076
4,0.322624,0.131072,0.052992,0.055296,0.095904,0.07824,0.074976,0.029664,0.840768,0.995745
5,0.320736,0.132256,0.053088,0.052768,0.094144,0.077824,0.073728,0.027488,0.832032,0.987088
6,0.322496,0.131072,0.053312,0.053376,0.0928,0.077824,0.073728,0.027136,0.831744,0.986877
7,0.320736,0.133952,0.053312,0.052448,0.09456,0.076736,0.073728,0.028672,0.834144,0.993851
8,0.321824,0.130976,0.053248,0.05312,0.092736,0.077792,0.073952,0.027872,0.83152,0.984724
9,0.320096,0.132704,0.051904,0.052608,0.093088,0.077888,0.073952,0.028064,0.830304,0.982148
10,0.322176,0.13136,0.053344,0.053248,0.093536,0.077888,0.074784,0.028128,0.834464,0.988611
11,0.32272,0.131072,0.05248,0.05216,0.093856,0.076576,0.072544,0.027808,0.829216,1.38167
12,0.320416,0.13104,0.053248,0.052288,0.094016,0.080768,0.073728,0.02928,0.834784,1.67142
13,0.321472,0.19024,0.053344,0.052928,0.094368,0.077632,0.074016,0.028096,0.892096,1.49099
14,0.322208,0.131808,0.053248,0.052864,0.093568,0.078464,0.07456,0.027232,0.833952,0.983982
15,0.321024,0.132736,0.053024,0.052832,0.094016,0.077632,0.073152,0.028576,0.832992,0.982008
16,0.322464,0.131616,0.05328,0.053248,0.09232,0.077088,0.075424,0.027296,0.832736,0.985145
17,0.32128,0.132256,0.053248,0.051648,0.094656,0.07744,0.075136,0.027648,0.833312,0.983802
18,0.320224,0.13424,0.053408,0.053344,0.093856,0.077952,0.074368,0.028512,0.835904,0.987819
19,0.319808,0.132128,0.054304,0.053152,0.094208,0.075968,0.075424,0.02752,0.832512,0.983091
20,0.319904,0.131424,0.053216,0.051968,0.093568,0.076864,0.075072,0.028448,0.830464,0.98247
