run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.3176,0.135168,0.055296,0.054624,0.096416,0.079872,0.077792,0.032768,0.849536,1.02487
2,0.320608,0.13392,0.054528,0.055296,0.092992,0.079904,0.077376,0.032768,0.847392,1.02363
3,0.320352,0.135168,0.055296,0.053536,0.095456,0.079872,0.076,0.0328,0.84848,1.02092
4,0.318496,0.134464,0.055296,0.054208,0.096256,0.079456,0.078912,0.032768,0.849856,1.02506
5,0.319712,0.135392,0.055392,0.0552,0.095968,0.081248,0.076544,0.033088,0.852544,1.02749
6,0.318208,0.135584,0.055264,0.055968,0.09472,0.081824,0.078112,0.024672,0.844352,1.28741
7,0.387744,0.135328,0.05504,0.053824,0.097056,0.079872,0.07888,0.035648,0.923392,1.10847
8,0.320448,0.134048,0.055296,0.056512,0.096224,0.080192,0.072288,0.034368,0.849376,1.22062
9,0.320032,0.132448,0.0512,0.055552,0.095904,0.081152,0.073984,0.026496,0.836768,1.90018
10,0.321344,0.136704,0.055744,0.0568,0.095168,0.080352,0.077984,0.03728,0.861376,1.05809
11,0.319424,0.138784,0.055936,0.055264,0.096256,0.08032,0.077312,0.034816,0.858112,1.05145
12,0.320992,0.131296,0.054304,0.056448,0.098368,0.081632,0.07792,0.033312,0.854272,1.6594
13,0.318592,0.133792,0.055264,0.05472,0.096704,0.07968,0.077824,0.033056,0.849632,1.02374
14,0.318272,0.13408,0.054816,0.055296,0.093568,0.079872,0.07744,0.032768,0.846112,1.02287
15,0.31888,0.135168,0.054976,0.055296,0.095072,0.079872,0.076352,0.032544,0.84816,1.02238
16,0.318816,0.13312,0.05536,0.054656,0.094368,0.079008,0.077792,0.03184,0.84496,1.01893
17,0.31856,0.134304,0.055296,0.053248,0.095328,0.079872,0.07744,0.032768,0.846816,1.02709
18,0.320864,0.134112,0.055296,0.055008,0.093728,0.0808,0.077728,0.03296,0.850496,1.02016
19,0.319296,0.13488,0.056032,0.054208,0.096064,0.079392,0.077824,0.033376,0.851072,1.02595
20,0.319744,0.13376,0.055424,0.053312,0.096256,0.080224,0.079424,0.034816,0.85296,1.03138
21,0.319232,0.135392,0.05568,0.053888,0.096352,0.080064,0.073984,0.0368,0.851392,1.22166
22,0.424192,0.129024,0.056096,0.05264,0.08864,0.081792,0.077696,0.037344,0.947424,1.86804
23,0.319456,0.133888,0.05696,0.055136,0.095456,0.079872,0.076224,0.03472,0.851712,1.03947
24,0.317824,0.13584,0.055648,0.053824,0.09456,0.078752,0.078144,0.032928,0.84752,1.03114
25,0.317248,0.135424,0.055808,0.053792,0.09616,0.080352,0.077728,0.036256,0.852768,1.03909
26,0.318112,0.13568,0.055296,0.055264,0.096128,0.079872,0.077888,0.037856,0.856096,1.046
27,0.407904,0.137216,0.055648,0.055296,0.096896,0.079776,0.077952,0.041312,0.952,1.14309
28,0.32048,0.134208,0.057344,0.053728,0.090592,0.08192,0.078688,0.0392,0.85616,1.22278
29,0.473344,0.136736,0.37008,0.052736,0.098624,0.08192,0.07952,0.045376,1.33834,1.74621
30,0.320032,0.137056,0.055808,0.055808,0.094688,0.081728,0.080352,0.03856,0.864032,1.05979
31,0.32,0.1352,0.056928,0.055296,0.096384,0.080224,0.077824,0.033408,0.855264,1.05087
32,0.31744,0.133312,0.05616,0.054656,0.095328,0.079872,0.07904,0.036608,0.852416,1.04073
33,0.317088,0.135936,0.056864,0.054144,0.096256,0.081248,0.077824,0.034816,0.854176,1.04654
34,0.318816,0.129024,0.051392,0.0512,0.097568,0.082912,0.072064,0.022976,0.825952,2.11065
