run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
52,0.321088,0.131008,0.053248,0.053088,0.093856,0.076544,0.074208,0.027904,0.830944,0.979857
53,0.321728,0.132864,0.052096,0.052576,0.094208,0.077184,0.075392,0.02752,0.833568,0.982482
54,0.322048,0.132608,0.053216,0.0528,0.093184,0.077632,0.074368,0.027264,0.83312,0.988893
55,0.321504,0.137216,0.05312,0.05248,0.094208,0.077312,0.073824,0.029728,0.839392,0.9972
56,0.319808,0.131264,0.052512,0.052032,0.092544,0.077024,0.07568,0.026912,0.827776,0.983684
57,0.32016,0.131872,0.053248,0.051776,0.093632,0.077632,0.07408,0.028,0.8304,0.980849
58,0.321536,0.132288,0.054304,0.053248,0.093792,0.076544,0.073696,0.027072,0.83248,0.985848
59,0.32112,0.134208,0.065376,0.05376,0.094144,0.077152,0.073728,0.028672,0.84816,1.01806
60,0.320288,0.131296,0.053408,0.051712,0.094208,0.075776,0.074752,0.028672,0.830112,0.98165
61,0.31984,0.137344,0.051424,0.055392,0.094208,0.075776,0.075776,0.030144,0.839904,1.18047
62,0.320704,0.132032,0.052,0.053248,0.094208,0.29504,0.073632,0.029568,1.05043,1.41228
63,0.320032,0.13312,0.051872,0.053312,0.091008,0.102144,0.073728,0.028864,0.85408,2.21695
64,0.3208,0.13264,0.05376,0.052032,0.094144,0.077472,0.074304,0.026944,0.832096,0.983193
65,0.32112,0.132576,0.053152,0.053152,0.093024,0.075904,0.074912,0.028256,0.832096,0.98159
66,0.320416,0.137632,0.053248,0.053344,0.094208,0.077824,0.073984,0.02896,0.839616,0.994945
67,0.319616,0.132448,0.05312,0.051552,0.094208,0.077312,0.074144,0.027552,0.829952,0.982041
68,0.320608,0.131712,0.053344,0.053056,0.093856,0.077728,0.074112,0.02816,0.832576,0.981801
69,0.321696,0.132896,0.0528,0.053248,0.093824,0.077632,0.073856,0.027904,0.833856,0.982552
70,0.320928,0.132608,0.053728,0.052224,0.093216,0.077824,0.073632,0.028032,0.832192,0.983043
71,0.321472,0.131424,0.053248,0.051488,0.094048,0.076448,0.073536,0.028544,0.830208,0.979907
72,0.321504,0.137216,0.053248,0.052416,0.093088,0.07696,0.075232,0.028864,0.838528,0.993713
73,0.321056,0.13312,0.053248,0.052672,0.094208,0.088288,0.077472,0.028736,0.8488,1.00549
74,0.323296,0.13264,0.053248,0.053248,0.094112,0.076672,0.073728,0.02768,0.834624,0.985177
75,0.321216,0.132896,0.052832,0.052832,0.094016,0.0776,0.074336,0.026848,0.832576,0.982512
76,0.321408,0.13312,0.052224,0.051488,0.100352,0.079872,0.079744,0.024576,0.842784,1.59163
77,0.320576,0.132768,0.053248,0.054656,0.091968,0.075424,0.072608,0.032032,0.83328,2.22527
78,0.320224,0.131328,0.053248,0.052832,0.094208,0.077888,0.073984,0.027328,0.83104,0.988282
79,0.320128,0.141248,0.053472,0.053024,0.09456,0.075904,0.073728,0.028256,0.84032,0.992019
80,0.321344,0.139104,0.05328,0.053248,0.0936,0.0776,0.075008,0.028672,0.841856,0.992
81,0.321312,0.13648,0.053248,0.05264,0.093088,0.075872,0.073824,0.028512,0.834976,0.984826
82,0.321184,0.131744,0.053696,0.0528,0.09392,0.076512,0.074816,0.02816,0.832832,0.982692
83,0.32096,0.137216,0.05312,0.052384,0.095264,0.0768,0.074912,0.028672,0.839328,0.992069
84,0.322624,0.131136,0.053248,0.05248,0.095296,0.07776,0.074112,0.026784,0.83344,0.984656
85,0.31936,0.132032,0.053248,0.052864,0.093056,0.077056,0.075584,0.027936,0.831136,0.982411
86,0.320736,0.131936,0.054656,0.05216,0.092288,0.077824,0.073792,0.027104,0.830496,0.983293
87,0.320352,0.13312,0.053216,0.051712,0.09456,0.076288,0.073728,0.028096,0.831072,0.98139
88,0.321056,0.131456,0.054336,0.05312,0.09376,0.076736,0.073984,0.027904,0.832352,0.982983
89,0.320448,0.137248,0.053472,0.05184,0.093984,0.07648,0.07392,0.028864,0.836256,0.991379
90,0.322336,0.131072,0.053248,0.053248,0.09008,0.077824,0.07392,0.027648,0.829376,1.35336
91,0.43472,0.13312,0.054368,0.052928,0.09472,0.075968,0.07376,0.024704,0.944288,1.80046
92,0.43616,0.130656,0.053632,0.051872,0.095392,0.077824,0.07504,0.030944,0.95152,1.68226
93,0.320096,0.137216,0.053248,0.052448,0.095904,0.076416,0.07488,0.030336,0.840544,0.996037
94,0.319264,0.132608,0.053056,0.053152,0.094368,0.0776,0.073728,0.030208,0.833984,0.983854
95,0.321056,0.132736,0.053248,0.051424,0.094208,0.07728,0.075264,0.029024,0.83424,0.983884
96,0.321248,0.131584,0.052064,0.052448,0.09456,0.0768,0.074784,0.03072,0.834208,0.984856
97,0.320736,0.133056,0.051712,0.052416,0.095424,0.077536,0.074144,0.030496,0.83552,0.985207
98,0.322304,0.131552,0.053248,0.05328,0.094208,0.077728,0.074016,0.029344,0.83568,0.989805
99,0.320576,0.13808,0.053536,0.051392,0.094144,0.077216,0.073728,0.028672,0.837344,0.994504
100,0.3192,0.132448,0.052128,0.052672,0.100192,0.07728,0.074848,0.027424,0.836192,0.98682
