run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
1,0.3810,0.1537,0.0678,0.0608,0.1072,0.0884,0.0873,0.0302,0.9763,2.6475
2,0.3792,0.1552,0.0620,0.0624,0.1080,0.0889,0.0841,0.0258,0.9655,2.6578
3,0.3810,0.1509,0.0628,0.0654,0.1035,0.0895,0.0815,0.0276,0.9623,2.6743
4,0.3820,0.1557,0.0606,0.0636,0.1068,0.0893,0.0863,0.0308,0.9752,2.6987
5,0.3819,0.1541,0.0629,0.0600,0.1068,0.0884,0.0848,0.0262,0.9650,2.6832
6,0.3835,0.1545,0.0616,0.0617,0.1061,0.0897,0.0851,0.0309,0.9730,2.6926
7,0.3836,0.1527,0.0629,0.0606,0.1067,0.0884,0.0859,0.0258,0.9664,2.6935
8,0.3841,0.1549,0.0660,0.0622,0.1066,0.0872,0.0835,0.0315,0.9761,2.6699
9,0.3813,0.1542,0.0630,0.0625,0.1070,0.0886,0.0853,0.0311,0.9733,2.7095
10,0.6021,0.2033,0.2259,0.1093,0.2492,0.2954,0.1628,0.0326,1.8806,3.6199
11,0.3837,0.1559,0.0609,0.0674,0.1070,0.0893,0.0852,0.0306,0.9801,2.6575
12,0.3826,0.1557,0.0641,0.0623,0.1107,0.0886,0.0834,0.0311,0.9786,2.6681
13,0.3823,0.1555,0.0672,0.0678,0.1070,0.0899,0.0862,0.0278,0.9837,2.6659
14,0.3824,0.1594,0.0623,0.0633,0.1055,0.0885,0.0829,0.0283,0.9726,2.6738
15,0.3827,0.1542,0.0631,0.1707,0.2194,0.0883,0.0836,0.1402,1.3021,3.0762
16,0.5248,0.2565,0.1722,0.1134,0.1546,0.0889,0.0859,0.0307,1.4270,3.1788
17,0.3846,0.1561,0.0628,0.0637,0.1069,0.0896,0.0857,0.0313,0.9807,2.6712
18,0.3860,0.1542,0.0639,0.0625,0.1078,0.0906,0.0853,0.0276,0.9780,2.6714
19,0.3855,0.1569,0.0634,0.0632,0.1074,0.0892,0.0852,0.0274,0.9781,2.6585
20,0.3844,0.1563,0.0638,0.0683,0.1082,0.0894,0.0848,0.0317,0.9868,2.6866
21,0.3852,0.1568,0.0634,0.0636,0.1081,0.0901,0.0847,0.1908,1.1427,2.9311
22,0.3852,0.2057,0.3476,0.1113,0.1524,0.3052,0.1635,0.0305,1.7013,3.4896
23,0.3857,0.1604,0.0650,0.0628,0.1073,0.0898,0.0867,0.0316,0.9893,2.7057
24,0.3848,0.1572,0.0628,0.0622,0.1060,0.0836,0.0839,0.0318,0.9723,2.6858
25,0.3862,0.1548,0.0637,0.0634,0.1069,0.0894,0.0838,0.0309,0.9790,2.6578
26,0.3836,0.1553,0.0632,0.0628,0.1077,0.0892,0.0862,0.0314,0.9793,2.6800
27,0.3850,0.1562,0.0625,0.1808,0.2474,0.0891,0.2752,0.1335,1.5296,3.3190
28,0.3852,0.2085,0.1753,0.1131,0.1549,0.0897,0.0867,0.0314,1.2449,2.9577
29,0.3859,0.1562,0.0633,0.0641,0.1068,0.0883,0.0852,0.0308,0.9806,2.6903
30,0.3848,0.1566,0.0641,0.0624,0.1064,0.0858,0.0820,0.0266,0.9688,3.0476
31,0.3839,0.1591,0.0629,0.0628,0.1076,0.0874,0.0812,0.0284,0.9735,3.2125
32,0.3857,0.1554,0.0617,0.0627,0.1071,0.0820,0.2459,0.0263,1.1268,3.2315
33,0.3838,0.1553,0.1144,0.2285,0.1571,0.3464,0.1697,0.2172,1.7724,3.8861
